VendorID,VendorName,Region,DeliveryTimeDays,ContactEmail
1,AC Parts Co.,FL,3,sales@acpartsco.com
2,HVAC Supplies Inc.,FL,2,orders@hvacsupplies.com
3,ComfortTech Solutions,GA,5,info@comforttech.com
4,CoolBreeze Distribution,FL,4,contact@coolbreeze.com
5,AirFlow Components,TX,6,support@airflowcomp.com
6,ClimatePro Merchants,NC,3,service@climatepro.com
7,ThermoSupply Depot,FL,2,team@thermosupply.com
8,BlueSky Ventilation,GA,5,help@blueskyvent.com
9,SunAir Systems,FL,3,info@sunairsystems.com
10,EverTemp Products,TX,4,sales@evertemp.com
